"SlNo","Device","partKind","partStart","partDur"
"217","acutec_QT250-M301_781d8d","1762",2014-11-06 03:17:45.894,178.361000061035
"218","acutec_QT250-M301_781d8d","1762",2014-11-06 03:20:44.255,176.34099984169
"219","acutec_QT250-M301_781d8d","1762",2014-11-06 03:23:42.644,176.283999919891
"220","acutec_QT250-M301_781d8d","1762",2014-11-06 03:26:38.927,178.334000110626
"221","acutec_QT250-M301_781d8d","1762",2014-11-06 03:29:37.262,176.254999876022
"222","acutec_QT250-M301_781d8d","1762",2014-11-06 03:32:35.565,176.261999845505
"223","acutec_QT250-M301_781d8d","1762",2014-11-06 03:35:31.826,178.387000083923
"224","acutec_QT250-M301_781d8d","1762",2014-11-06 03:38:30.213,176.280999898911
"225","acutec_QT250-M301_781d8d","1762",2014-11-06 03:41:28.542,176.258000135422
"226","acutec_QT250-M301_781d8d","1762",2014-11-06 03:44:24.801,176.341999769211
"227","acutec_QT250-M301_781d8d","1762",2014-11-06 03:47:23.216,176.266000032425
"228","acutec_QT250-M301_781d8d","1762",2014-11-06 03:50:19.482,178.4359998703
"229","acutec_QT250-M301_781d8d","1762",2014-11-06 03:53:17.917,176.262000083923
"230","acutec_QT250-M301_781d8d","1762",2014-11-06 03:56:16.226,176.30999994278
"231","acutec_QT250-M301_781d8d","1762",2014-11-06 03:59:12.536,176.378000020981
"232","acutec_QT250-M301_781d8d","1762",2014-11-06 04:02:10.953,176.255000114441
"233","acutec_QT250-M301_781d8d","1762",2014-11-06 04:05:09.256,176.285000085831
"234","acutec_QT250-M301_781d8d","1762",2014-11-06 04:08:05.542,176.323999881744
"235","acutec_QT250-M301_781d8d","1762",2014-11-06 04:11:03.901,176.285000085831
"236","acutec_QT250-M301_781d8d","1762",2014-11-06 04:14:00.187,178.361000061035
"237","acutec_QT250-M301_781d8d","1762",2014-11-06 04:16:58.548,176.257999897003
"238","acutec_QT250-M301_781d8d","1762",2014-11-06 04:19:56.880,176.255999803543
"239","acutec_QT250-M301_781d8d","1762",2014-11-06 04:22:53.135,176.361000061035
"240","acutec_QT250-M301_781d8d","1762",2014-11-06 04:25:51.553,176.256000041962
"241","acutec_QT250-M301_781d8d","1762",2014-11-06 04:28:49.858,174.210999965668
"242","acutec_QT250-M301_781d8d","1762",2014-11-06 04:35:31.582,176.285000085831
"243","acutec_QT250-M301_781d8d","1762",2014-11-06 04:38:27.867,178.417999982834
"244","acutec_QT250-M301_781d8d","1762",2014-11-06 04:41:26.285,176.283999919891
"245","acutec_QT250-M301_781d8d","1762",2014-11-06 04:44:24.617,176.259999990463
"246","acutec_QT250-M301_781d8d","1762",2014-11-06 04:47:20.877,176.34099984169
"247","acutec_QT250-M301_781d8d","1762",2014-11-06 04:50:19.266,176.279000043869
"248","acutec_QT250-M301_781d8d","1762",2014-11-06 04:53:15.546,178.388999938965
"249","acutec_QT250-M301_781d8d","1762",2014-11-06 04:56:13.934,176.256999969482
"250","acutec_QT250-M301_781d8d","1762",2014-11-06 04:59:12.240,176.285000085831
"251","acutec_QT250-M301_781d8d","1762",2014-11-06 05:02:08.525,178.332000017166
"252","acutec_QT250-M301_781d8d","1762",2014-11-06 05:05:06.857,176.259999990463
"253","acutec_QT250-M301_781d8d","1762",2014-11-06 05:08:05.171,176.388000011444
"254","acutec_QT250-M301_781d8d","1762",2014-11-06 05:11:01.559,176.227999925613
"255","acutec_QT250-M301_781d8d","1762",2014-11-06 05:13:59.835,176.259999990463
"256","acutec_QT250-M301_781d8d","1762",2014-11-06 05:16:56.095,178.361999988556
"257","acutec_QT250-M301_781d8d","1762",2014-11-06 05:19:54.457,176.27799987793
"258","acutec_QT250-M301_781d8d","1762",2014-11-06 05:22:52.783,176.28400015831
"259","acutec_QT250-M301_781d8d","1762",2014-11-06 05:25:49.068,176.264999866486
"260","acutec_QT250-M301_781d8d","1762",2014-11-06 05:28:47.371,176.258000135422
"261","acutec_QT250-M301_781d8d","1762",2014-11-06 05:31:43.630,178.364999771118
"262","acutec_QT250-M301_781d8d","1762",2014-11-06 05:34:41.994,176.31500005722
"263","acutec_QT250-M301_781d8d","1762",2014-11-06 05:37:40.359,176.274000167847
"264","acutec_QT250-M301_781d8d","1762",2014-11-06 05:40:36.634,178.333999872208
"265","acutec_QT250-M301_781d8d","1762",2014-11-06 05:43:34.967,176.255000114441
"266","acutec_QT250-M301_781d8d","1762",2014-11-06 05:46:31.223,178.333999872208
"267","acutec_QT250-M301_781d8d","1762",2014-11-06 05:49:29.556,178.360000133514
"268","acutec_QT250-M301_781d8d","1762",2014-11-06 05:52:27.917,176.282999992371
"269","acutec_QT250-M301_781d8d","1762",2014-11-06 05:55:26.247,176.256000041962
"270","acutec_QT250-M301_781d8d","1762",2014-11-06 05:58:22.503,178.390000104904
"271","acutec_QT250-M301_781d8d","1762",2014-11-06 06:01:20.894,176.254999876022
"272","acutec_QT250-M301_781d8d","1762",2014-11-06 06:06:28.345,176.255000114441
"273","acutec_QT250-M301_781d8d","1762",2014-11-06 06:09:30.831,176.263999938965
"274","acutec_QT250-M301_781d8d","1762",2014-11-06 06:12:29.140,176.27999997139
"275","acutec_QT250-M301_781d8d","1762",2014-11-06 06:15:25.420,178.360999822617
"276","acutec_QT250-M301_781d8d","1762",2014-11-06 06:18:23.780,176.261000156403
"277","acutec_QT250-M301_781d8d","1762",2014-11-06 06:21:22.088,176.27999997139
"278","acutec_QT250-M301_781d8d","1762",2014-11-06 06:24:18.368,178.391000032425
"279","acutec_QT250-M301_781d8d","1762",2014-11-06 06:27:16.759,176.259000062943
"280","acutec_QT250-M301_781d8d","1762",2014-11-06 06:30:15.068,176.3109998703
"281","acutec_QT250-M301_781d8d","1762",2014-11-06 06:33:11.378,176.281000137329
"282","acutec_QT250-M301_781d8d","1762",2014-11-06 06:36:09.707,176.276999950409
"283","acutec_QT250-M301_781d8d","1762",2014-11-06 06:39:05.984,178.368000030518
"284","acutec_QT250-M301_781d8d","1762",2014-11-06 06:42:04.352,176.256000041962
"285","acutec_QT250-M301_781d8d","1762",2014-11-06 06:45:02.657,176.286000013351
"286","acutec_QT250-M301_781d8d","1762",2014-11-06 06:47:58.943,289.980000019073
"287","acutec_QT250-M301_781d8d","1762",2014-11-06 07:32:20.529,469.371000051498
"288","acutec_QT250-M301_781d8d","1762",2014-11-06 07:40:16.053,188.5640001297
"289","acutec_QT250-M301_781d8d","1762",2014-11-06 07:43:34.865,172.184000015259
"290","acutec_QT250-M301_781d8d","1762",2014-11-06 07:47:44.934,231.641999959946
"291","acutec_QT250-M301_781d8d","1762",2014-11-06 07:51:46.822,180.375
"292","acutec_QT250-M301_781d8d","1762",2014-11-06 07:54:53.342,172.163000106812
"293","acutec_QT250-M301_781d8d","1762",2014-11-06 07:57:59.867,311.520999908447
